,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
2780,Judy Sierra,Picture Book,,Fiction,Knopf,"August 12, 2008",4 - 7,40,,"June 19, 2019",Marc Brown,,,,,
2781,Deb Caletti,Coming of Age,,Fiction,Simon Pulse,"April 24, 2012",12 - 17,400,,"July 13, 2017",,,,,,
2782,Shannon Hale,Friendship,"Brothers and Sisters, Friendship, Great Girl Role Models, Misfits and Underdogs",Non-Fiction,First Second,"May 2, 2017",,224,"Paperback, Nook, Hardback, iBooks, Kindle","September 12, 2019",LeUyen Pham,,,,,
2783,S.K. Ali,Coming of Age,"Brothers and Sisters, Friendship, Great Girl Role Models, High School",Fiction,Salaam Reads,"June 13, 2017",,325,"Nook, Audiobook (abridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2784,Stacy McAnulty,Coming of Age,"Activism, STEM, Adventures, Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs, Science and Nature",Fiction,Random House Children's Books,"September 3, 2019",8 - 12,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 20, 2019",,,,,,
2785,Ann Rinaldi,Historical Fiction,,Fiction,Harcourt Brace,"November 1, 1995",12 - 14,320,,"July 12, 2017",,,,,,
2786,,Animals,,Non-Fiction,Scholastic Press,"January 1, 2007",4 - 8,40,,"June 19, 2019",Peter Greste,"Isabella Hatkoff, Craig Hatkoff, Paula Kahumbu",,,,
2787,Todd Strasser,Coming of Age,,Fiction,Simon & Schuster,"January 1, 2000",12,146,,"September 16, 2018",,,,,,
2788,Terry Pratchett,Fantasy,"Magic and Fantasy, Adventures, Misfits and Underdogs",Fiction,,"November 5, 2013",8 - 17,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",Terry Pratchett,,,,,
2789,Peter Brown,Picture Book,"Friendship, Misfits and Underdogs, Wild Animals",Fiction,"Little, Brown Books for Young Readers","September 3, 2013",3 - 6,48,"Nook, Hardback, iBooks, Kindle","June 20, 2019",Peter Brown,,,,ALA Best and Notable Books,
2790,Jessica Day George,Fantasy,"Magic and Fantasy, Friendship, Monsters, Ghosts, and Vampires",Fiction,Bloomsbury Children's Books,"July 5, 2015",,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2791,Amy Zhang,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,Greenwillow Books,"March 28, 2016",14 - 18,304,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2792,Jeff Kinney,Humor,,Fiction,Amulet Books,"February 1, 2008",8 - 14,224,,"November 15, 2019",Jeff Kinney,,,,,
2793,Peggy Parish,For Beginning Readers,,Fiction,HarperTrophy,"January 1, 1971",,64,,"September 15, 2015",Wallace Tripp,,,,,
2794,Beverly Cleary,Family Life,,Fiction,HarperTrophy,"November 9, 2000",,208,,"August 11, 2015",Tracy Dockray,,"ALA Best and Notable Books, Newbery Medal and Honors",,,
2795,Stephenie Meyer,Fantasy,Magic and Fantasy,Fiction,"Little, Brown and Company","September 1, 2006",12,563,,"March 07, 2020",,,,,,
2796,Kathryn Cristaldi,Picture Book,"Horses and Farm Animals, Ocean Creatures, Space and Aliens, Wild Animals",Fiction,Harper,"January 30, 2019",4 - 8,32,Hardback,"January 31, 2019",Kristyna Litten,,,,,
2797,K. L. Going,Family Life,,Fiction,Houghton Mifflin Children's Books,"April 1, 2009",14 - 17,310,,"July 13, 2017",,,,,,
2798,Christian McKay Heidicker,Coming of Age,"Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Simon & Schuster Books for Young Readers,"June 14, 2016",14 - 18,320,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2799,Laura Ruby,Fantasy,"Adventures, Brothers and Sisters, Friendship, Robots",Fiction,Walden Pond Press,"May 14, 2019",8 - 12,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","May 29, 2019",,,,,,
2800,Megan McDonald,School,,Fiction,Candlewick Press,"April 25, 2004",7 - 10,144,,"June 18, 2019",Peter H. Reynolds,,,,,
2801,Megan Whalen Turner,Fantasy,"Magic and Fantasy, Adventures, History, Misfits and Underdogs",Fiction,Greenwillow Books,"October 31, 2017",10 - 14,279,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,Newbery Medal and Honors,
2802,Anna Dewdney,Picture Book,"Cars and Trucks, Great Boy Role Models",Fiction,Viking Books for Young Readers,"June 6, 2017",2 - 5,44,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Anna Dewdney,,,,,
2803,Ursula Vernon,Fantasy,"Princesses, Fairies, Mermaids, and More, Adventures, Cats, Dogs, and Mice, Fairy Tales",Fiction,Dial Books,"August 18, 2015",8 - 12,256,"Paperback, Nook, Hardback, iBooks, Kindle","February 04, 2020",Ursula Vernon,,,,,
2804,Susan Patron,Contemporary Fiction,,Fiction,Atheneum,"October 1, 2006",9 - 11,133,,"July 12, 2017",Matt Phelan,,,,Newbery Medal and Honors,
2805,Mo Willems,Friendship,,Fiction,Balzer + Bray,"February 16, 2010",,32,,"September 21, 2015",Mo Willems,,,,,
2806,Lamar Giles,Coming of Age,"Brothers and Sisters, Friendship, High School",Fiction,,"February 18, 2020",13 - 18,400,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 26, 2020",,,,,,
2807,Holly Black,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Great Girl Role Models",Fiction,"Little, Brown Books for Young Readers","November 19, 2019",,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 20, 2019",,,,,,
2808,David LaRochelle,Picture Book,"Great Boy Role Models, Wild Animals",Fiction,,"August 1, 2012",3 - 7,36,"Nook, Hardback","July 13, 2017",Jeremy Tankard,,,,,
2809,Audrey Couloumbis,Family Life,,Fiction,Penguin Group,"January 1, 1999",,211,,"August 31, 2015",,,,,Newbery Medal and Honors,
2810,Hillary Carlip,Emotions,,Non-Fiction,Time Warner Books,"January 1, 1995",12 - 14,353,,"July 12, 2017",,,,,,
2811,Donna Gephart,Family Life,Great Girl Role Models,Fiction,Delacorte Press,"March 13, 2012",8 - 17,288,,"June 19, 2019",,,,,,
2812,Courtney Summers,Horror,"Magic and Fantasy, Adventures, Brothers and Sisters, Friendship, High School, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,St. Martin's Press,"June 19, 2012",14 - 17,336,"Paperback, Nook, Kindle","July 13, 2017",,,,,,
2813,Dr. Seuss,Short Stories,,Fiction,,"October 31, 1940",4 - 7,55,,"July 12, 2017",Dr. Seuss,,,,,
2814,Eileen Christelow,Picture Book,"Book Characters, Brothers and Sisters, Wild Animals",Fiction,Clarion Books,"July 31, 2012",,32,"Paperback, Nook, Audiobook (unabridged), Audiobook (abridged), Hardback, iBooks, Kindle, App","December 13, 2019",Eileen Christelow,,,,,
2815,Barbara Mariconda,Adventure,"Magic and Fantasy, Adventures, Friendship, Great Girl Role Models, History, Pirates",Fiction,HarperCollins Publishers,"October 1, 2013",8 - 12,320,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2816,Emily Gravett,Picture Book,,Fiction,Simon & Schuster,"October 6, 2009",4 - 8,32,,"July 13, 2017",Emily Gravett,,,,,
2817,,Autobiography,"Activism, Brothers and Sisters, Great Boy Role Models, Misfits and Underdogs",Non-Fiction,Houghton Mifflin Books for Young Readers,"January 14, 2020",10 - 14,336,"Audiobook (unabridged), Hardback, iBooks, Kindle","January 26, 2020",,"Magdalena Newman, Nathaniel Newman",,,,
2818,Kadir Nelson,Biography,"Activism, Great Boy Role Models, History, Misfits and Underdogs",Non-Fiction,Katherine Tegen Books,"January 2, 2013",4 - 9,40,Hardback,"June 19, 2019",Kadir Nelson,,,,ALA Best and Notable Books,
2819,Jacqueline Briggs Martin,Biography,,Non-Fiction,Houghton Mifflin Children's Books,"January 1, 1998",4 - 7,30,,"July 12, 2017",Mary Azarian,,,,Caldecott Medal and Honors,
2820,Ellen Hopkins,Coming of Age,,Fiction,Simon & Schuster,"January 23, 2007",14,672,,"July 12, 2017",,,,,,
2821,Holly Black,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Great Boy Role Models",Fiction,,"January 9, 2018",15 - 18,380,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 06, 2020",,,,"Little, Little, Brown Books for Young Readers",,
2822,Andrea Cheng,Family Life,"Brothers and Sisters, Friendship",Fiction,Houghton Mifflin Children's Books,"May 28, 2013",6 - 9,176,"Nook, Hardback, Kindle","June 19, 2019",Patrice Barton,,,,,
2823,April Genevieve Tucholke,Fantasy,"Brothers and Sisters, Friendship, Great Boy Role Models, Great Girl Role Models, Monsters, Ghosts, and Vampires",Fiction,Dial Books,"August 13, 2014",12 - 17,320,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2824,,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Monsters, Ghosts, and Vampires",Fiction,SwoonReads,"February 9, 2016",12 - 18,320,"Paperback, Nook, iBooks, Kindle","June 19, 2019",,"Tarun Shanker, Kelly Zekas",,,,
2825,Catherynne M. Valente,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Fairy Tales, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Feiwel and Friends,"October 2, 2012",10 - 13,272,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Ana Juan,,,,,
2826,Tom Angleberger,Friendship,"Adventures, Friendship",Fiction,Amulet Books,"April 21, 2015",8 - 12,160,"Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Jen Wang,,,,,
2827,Marsha Diane Arnold,Picture Book,"Friendship, Wild Animals",Fiction,Roaring Brook Press,"November 3, 2015",3 - 6,32,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Matthew Cordell,,,,,
2828,Lizi Boyd,Picture Book,"Science and Nature, Wild Animals",Fiction,Chronicle Books,"October 6, 2015",3 - 5,36,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Lizi Boyd,,,,,
2829,Mary E. Pearson,Science Fiction,,Fiction,"Henry Holt & Company, Inc.","April 29, 2008",13 - 17,265,,"May 02, 2019",,,,,,
2830,Maurene Goo,Coming of Age,"Friendship, High School",Fiction,"Farrar, Straus and Giroux","May 8, 2018",14 - 18,323,"Paperback, Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
2831,James Horvath,Picture Book,"Cars and Trucks, Cats, Dogs, and Mice, Great Boy Role Models",Fiction,Harper,"September 23, 2014",4 - 8,40,Hardback,"June 19, 2019",James Horvath,,,,,
2832,Rick Riordan,Fantasy,"Great Boy Role Models, Great Girl Role Models, Ocean Creatures",Fiction,Disney-Hyperion,"October 2, 2012",9 - 11,608,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 20, 2019",,,,,,
2833,,Graphic Novel,"Princesses, Fairies, Mermaids, and More, Adventures, Friendship, Space and Aliens",Fiction,Random House Children's Books,"May 8, 2018",,,"Paperback, Nook, iBooks, Kindle","June 19, 2019",,"Mark Siegel, Alexis Siegel",,,,"Xanthe Bouma, Matthew C. Rockefeller, Boya Sun"
2834,Michelle Gagnon,Mystery,"Adventures, Great Girl Role Models, Misfits and Underdogs",Fiction,HarperCollins Publishers,"August 27, 2013",14 - 17,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,,
2835,Jill Twiss,Picture Book,"Bugs, Cats, Dogs, and Mice, Friendship, Great Boy Role Models, Great Girl Role Models, Wild Animals",Fiction,Chronicle Books,"March 19, 2018",3 - 8,40,"Audiobook (unabridged), Hardback, Kindle","June 19, 2019",EG Keller,,,,,
2836,Gwenyth Swain,Historical Fiction,,Fiction,Delacorte Press,"December 6, 2003",,199,,"September 24, 2015",,,,,,
2837,Janet Tashjian,Graphic Novel,"Adventures, Friendship, Middle School",Fiction,Squarefish,"September 13, 2011",9 - 12,240,"Paperback, Hardback, iBooks, Kindle","May 23, 2019",Jake Tashjian,,,,,
2838,Tony Johnston,School,,Fiction,Cartwheel Books,"July 1, 2007",4 - 7,32,,"July 12, 2017",,,,,,"K. C. Bailey, Melissa Sweet"
2839,Caroline Bock,Coming of Age,"Friendship, Misfits and Underdogs",Fiction,St. Martin's Press,"February 11, 2014",14 - 18,320,"Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
2840,Jody Gehrman,Friendship,,Fiction,Dial Books,"April 17, 2008",13 - 17,255,,"June 19, 2019",,,,,,
2841,Stephanie Spinner,Folklore,,Fiction,Alfred A. Knopf,"November 6, 2005",12,177,,"July 12, 2017",,,,,,
2842,Philip Pullman,Fantasy,Magic and Fantasy,Fiction,Del Rey,"October 5, 1998",,368,,"August 22, 2019",,,,,,
2843,Zoe Sugg,Romance,"Adventures, Friendship, High School",Fiction,Keywords Press,"November 25, 2014",12 - 17,352,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2844,Ransom Riggs,Fantasy,"Adventures, Fairy Tales, Friendship, Misfits and Underdogs",Fiction,Dutton Books,"September 3, 2016",13 - 18,192,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Andrew Davidson,,,,,
2845,Margo Rabb,Coming of Age,,Fiction,Delacorte Press,"February 13, 2007",,256,,"September 21, 2015",,,,,,
2846,Katherine Hannigan,Fantasy,,Fiction,HarperCollins Children's Books,"February 24, 2009",9 - 12,112,,"July 13, 2017",,,,,,
2847,Kevin Emerson,Science Fiction,"Magic and Fantasy, Adventures",Fiction,Katherine Tegen Books,"May 22, 2012",13 - 17,448,,"July 13, 2017",,,,,,
2848,Rob Scotton,Picture Book,,Fiction,HarperCollins Children's Books,"June 9, 2006",,32,,"September 29, 2015",Rob Scotton,,,,,
2849,Tess Weaver,Picture Book,,Fiction,Clarion Books,"November 19, 2007",4 - 7,32,,"July 12, 2017",Emily Arnold McCully,,,,,
2850,William Golding,Literary Fiction,"Adventures, Friendship",Fiction,Perigree,"January 1, 1954",,304,,"June 19, 2019",,,,,,
2851,Caroline B. Cooney,Friendship,,Fiction,,"January 1, 1995",12 - 14,210,,"July 12, 2017",,,,,,
2852,Sarah Dessen,Contemporary Fiction,,Fiction,Penguin Group,"May 7, 2006",12,371,,"June 19, 2019",,,,,,
2853,Sophia McDougall,Science Fiction,"Adventures, Brothers and Sisters, Friendship, Great Girl Role Models, Misfits and Underdogs, Space and Aliens",Fiction,HarperCollins Children's Books,"February 17, 2015",8 - 12,416,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2854,Eileen Spinelli,Family Life,,Fiction,Simon & Schuster,"January 1, 1998",2 - 4,32,,"July 12, 2017",Jane Dyer,,,,,
2855,Stephanie Perkins,Romance,,Fiction,Dutton Books,"September 29, 2011",,384,,"March 20, 2019",,,,,,
2856,Ann Angel,Biography,,Non-Fiction,Amulet Books,"October 1, 2010",14,128,,"March 04, 2020",,,,,,
2857,Lisa Thompson,Mystery,"Friendship, Misfits and Underdogs",Fiction,Scholastic Press,"February 28, 2017",8 - 12,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2858,Chris Rylander,Mystery,"Adventures, Friendship, Misfits and Underdogs",Fiction,Walden Pond Press,"February 4, 2014",8 - 12,368,"Paperback, Nook, Hardback, iBooks, Kindle","November 04, 2019",,,,,,
2859,Shaun Tan,Short Stories,,Fiction,Arthur A. Levine,"February 1, 2009",12 - 17,92,,"June 19, 2019",Shaun Tan,,,,,
2860,,Fantasy,,Fiction,Hyperion Books for Children,"September 26, 2004",10 - 14,451,,"July 12, 2017",Greg Call,"Dave Barry, Ridley Pearson",,,,
2861,Anna Dewdney,Picture Book,,Fiction,Viking,"September 6, 2007",,40,,"March 04, 2020",Anna Dewdney,,,,,
2862,Jerry Pinkney,Fairy Tale,,Fiction,"Little, Brown and Company","October 1, 2007",4 - 7,40,,"July 13, 2017",Jerry Pinkney,,,,,
2863,Justin Somper,Fantasy,,Fiction,"Little, Brown and Company","October 7, 2006",9 - 12,330,,"July 13, 2017",,,,,,
2864,Dr. Seuss,For Beginning Readers,,Fiction,Random House,"August 12, 1960",4 - 7,62,,"November 11, 2019",Dr. Seuss,,,,,
2865,Cressida Cowell,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","October 3, 2017",8 - 12,400,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 09, 2020",Cressida Cowell,,,,,
2866,Tony DiTerlizzi,Fantasy,,Fiction,Simon & Schuster,"August 1, 2008",8 - 12,151,,"July 13, 2017",,,,,,
2867,Will Hill,Horror,,Fiction,Razorbill,"March 31, 2011",14 - 17,480,,"February 20, 2020",,,,,,
2868,Richard Wright,Autobiography,"History, Misfits and Underdogs",Non-Fiction,HarperCollins Publishers,"April 4, 2007",,448,,"July 15, 2015",,,,,,
2869,Ursula K. Le Guin,Fantasy,Magic and Fantasy,Fiction,Bantam Books,"June 26, 2006",,183,"Paperback, Audiobook (unabridged), Hardback, Kindle","December 04, 2019",,,,,,
2870,,Mystery,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Scholastic Paperbacks,"January 1, 1991",7 - 10,80,"Paperback, Hardback","December 03, 2017",John Steve Gurney,"Debbie Dadey, Marcia Thornton Jones",,,,
2871,Simms Taback,Picture Book,,Fiction,Penguin Group,"January 1, 1999",4 - 7,40,,"July 12, 2017",Simms Taback,,,,Caldecott Medal and Honors,
2872,Cory Leonardo,Coming of Age,"Brothers and Sisters, Friendship, Misfits and Underdogs, Science and Nature",Fiction,Aladdin,"February 12, 2019",8 - 12,384,"Nook, Hardback, iBooks, Kindle","July 18, 2019",,,,,,
2873,Margery Cuyler,Math,,Non-Fiction,Simon & Schuster,"February 1, 2000",,32,,"November 04, 2019",Arthur Howard,,,,,
2874,Jackson Pearce,Science,"STEM, Friendship, Great Girl Role Models",Fiction,Bloomsbury Children's Books,"November 5, 2019",8 - 12,208,"Hardback, iBooks, Kindle","January 10, 2020",,,,,,
2875,Jory John,Picture Book,"Friendship, Great Boy Role Models, Great Girl Role Models, Misfits and Underdogs",Fiction,Harper Collins Publishers,"January 17, 2020",4 - 8,40,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","January 25, 2020",Pete Oswald,,,,,
2876,Gordon Korman,Friendship,"STEM, Brothers and Sisters, Friendship, Middle School, Misfits and Underdogs, Robots",Fiction,Balzer + Bray,"August 21, 2012",10 - 17,288,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2877,Jeanne Birdsall,Family Life,"Adventures, Brothers and Sisters, Cats, Dogs, and Mice, Friendship, Horses and Farm Animals",Fiction,Alfred A. Knopf,"May 15, 2018",8 - 12,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","May 09, 2018",,,,,,
2878,Steve Sheinkin,Biography,"Sports and Martial Arts, Friendship, Great Boy Role Models, History, Misfits and Underdogs",Non-Fiction,Roaring Brook Press,"January 17, 2017",10 - 17,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 26, 2020",,,,,,
2879,Meagan Spooner,Science Fiction,"Adventures, Friendship, Space and Aliens",Fiction,Hyperion Book CH,"January 22, 2019",,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 04, 2020",,,,,,
2880,Dr. Seuss,For Beginning Readers,,Fiction,Apple,"January 1, 1972",4 - 7,28,,"July 12, 2017",Dr. Seuss,,,,,
2881,Valynne E. Maetani,Mystery,"Brothers and Sisters, Friendship, High School",Fiction,Tu Books,"June 1, 2015",12 - 17,368,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
2882,Loren Long,Picture Book,"Cars and Trucks, Friendship, Horses and Farm Animals, Misfits and Underdogs",Fiction,Philomel,"September 22, 2009",4 - 8,40,"Paperback, Nook, Audiobook (unabridged), Hardback, Kindle","March 04, 2020",Loren Long,,,,,
2883,Susane Colasanti,Romance,"Friendship, High School",Fiction,Viking Juvenile,"May 20, 2013",12 - 18,240,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2884,Nikki Grimes,Poetry,"Great Boy Role Models, Great Girl Role Models, History, Misfits and Underdogs",Fiction,Bloomsbury Children's Books,"January 3, 2017",10 - 14,128,"Hardback, Kindle","February 26, 2020",,,,,,"R. Gregory Christie, Pat Cummings, Elizabeth Zunon, Javaka Steptoe"
2885,Lucy Christopher,Mystery,"Friendship, Great Girl Role Models, High School",Fiction,Chicken House,"January 7, 2014",14 - 17,384,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2886,Kirby Larson,Historical Fiction,"Great Girl Role Models, High School, History",Fiction,Delacorte Press,"September 26, 2006",,289,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,Newbery Medal and Honors,
2887,,Science Fiction,"History, Robots, Science and Nature, Space and Aliens",Fiction,Harper,"June 19, 2012",,352,"Nook, Hardback, iBooks, Kindle","October 11, 2015",,"Terry Pratchett, Stephen Baxter",,,,
2888,Stephen King,Horror,"Magic and Fantasy, High School, Misfits and Underdogs",Fiction,Anchor Books,"July 26, 1974",14 - 18,304,"Paperback, Nook, iBooks, Kindle","October 08, 2019",,,,,,
2889,Cassandra Clare,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Monsters, Ghosts, and Vampires",Fiction,Margaret K. McElderry,"March 19, 2013",14 - 17,592,"Paperback, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",,,,,,
2890,Bill Martin Jr.,Alphabet,,Non-Fiction,Simon & Schuster,"January 1, 1989",4 - 7,31,,"March 18, 2019",Lois Ehlert,,,,,
2891,Eric Dean Seaton,Fantasy,"Magic and Fantasy, Superheroes, Adventures",Fiction,And...Action! Entertainment,"October 8, 2014",9 - 17,216,"Paperback, Nook, iBooks, Kindle","December 03, 2017",Brandon Palas,,,,,
2892,Jon Scieszka,Folklore,,Fiction,Penguin Group,"January 1, 1998",,48,,"September 25, 2015",Lane Smith,,,,,
2893,Berkeley Breathed,Animals,,Fiction,Philomel,"September 17, 2009",8 - 12,208,,"June 19, 2019",Berkeley Breathed,,,,,
2894,Faith Erin Hicks,Contemporary Fiction,"Superheroes, Book Characters, High School",Fiction,Roaring Brook Press,"February 12, 2019",14 - 18,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2895,Erin Stewart,Coming of Age,"Friendship, Great Boy Role Models, Great Girl Role Models, High School, Misfits and Underdogs",Fiction,,"October 1, 2019",,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 22, 2019",,,,,,
2896,Deb Caletti,Coming of Age,,Fiction,Simon Pulse,"March 16, 2010",12 - 17,336,,"July 13, 2017",,,,,,
2897,Ruth Belov Gross,History,,Non-Fiction,Scholastic Inc.,"January 1, 1982",9 - 12,64,,"July 12, 2017",Emily Arnold McCully,,,,,
2898,Samantha Berger,Picture Book,"Arts and Dance, Great Girl Role Models",Fiction,"Little, Brown Books for Young Readers","April 10, 2018",4 - 8,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Mike Curato,,,,,
2899,Siobhan Parkinson,Coming of Age,,Fiction,Roaring Brook Press,"March 18, 2008",,160,,"June 19, 2019",,,,,,
2900,Lizzie K. Foley,Mystery,"Great Girl Role Models, Misfits and Underdogs, Puppets",Fiction,Dial Books,"April 12, 2012",8 - 12,338,,"July 13, 2017",,,,,,
2901,Molly Idle,Picture Book,"Dinosaurs, Brothers and Sisters, Holidays",Fiction,Viking,"October 17, 2017",3 - 5,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Molly Idle,,,,,
2902,Samira Ahmed,Contemporary Fiction,"Activism, Book Characters, Great Girl Role Models, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","March 19, 2019",13 - 18,400,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2903,,Animals,,Non-Fiction,Greenwillow Books,"March 11, 2008",4 - 7,32,,"March 04, 2020",Jane Manning,"Lola M. Schaefer, Heather Lynn Miller",,,,
2904,P.C. Cast,Fantasy,"Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Great Boy Role Models, Great Girl Role Models",Fiction,St. Martin's Press,"October 17, 2017",12 - 17,576,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2905,Melissa Marr,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More",Fiction,HarperTeen,"June 11, 2007",12,328,,"July 18, 2018",,,,,,
2906,Amy Krouse Rosenthal,Picture Book,"Brothers and Sisters, Friendship",Fiction,Chronicle Books,"March 31, 2015",5 - 8,40,"Nook, Hardback, Kindle","June 19, 2019",Tom Lichtenheld,,,,,
2907,China Mieville,Fantasy,"Magic and Fantasy, Adventures, Pirates, Trains",Fiction,Del Rey,"June 15, 2012",12 - 17,448,,"June 19, 2019",,,,,,
2908,Emma Dodd,Picture Book,"Magic and Fantasy, Friendship, Holidays, Wild Animals",Fiction,Harper,"November 26, 2013",4 - 8,40,Hardback,"July 13, 2017",Emma Dodd,,,,,
2909,David Kirk,Picture Book,,Fiction,Scholastic Inc.,"January 1, 1995",,40,,"September 18, 2015",David Kirk,,,,,
2910,,Contemporary Fiction,"High School, Misfits and Underdogs",Fiction,Amistad,"October 20, 2015",14 - 18,160,"Paperback, Nook, Hardback, Kindle","June 19, 2019",Dawud Anyabwile,"Walter Dean Myers, Guy A Sims",,,Coretta Scott King Medal and Honors,
2911,Hank Green,Science Fiction,"Friendship, Robots, Space and Aliens",Fiction,Dutton,"September 25, 2018",0,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","April 12, 2019",,,,,,
2912,Lauren Conrad,Contemporary Fiction,,Fiction,HarperCollins Children's Books,"June 16, 2009",,326,,"June 19, 2019",,,,,,
2913,,Picture Book,"Magic and Fantasy, Friendship, Science and Nature, Wild Animals",Fiction,Reading Rainbow,"October 7, 2014",5 - 7,32,,"June 19, 2019",Courtenay Fletcher,"LeVar Burton, Susan Schaefer Bernardo",,,,
2914,Anne Fine,Holiday,,Fiction,Delacorte Press,"November 15, 2003",,133,,"September 25, 2015",,,,,,
2915,,Autobiography,"Sports and Martial Arts, Great Girl Role Models, Misfits and Underdogs",Non-Fiction,Zondervan,"December 4, 2012",8 - 17,224,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 05, 2019",,"Gabrielle Douglas, Michelle Burford",,,,
2916,Abby Hanlon,Friendship,"Brothers and Sisters, Friendship",Fiction,Dial,"September 20, 2016",6 - 8,150,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2917,Scott Westerfeld,Science Fiction,,Fiction,Simon Pulse,"October 5, 2010",12 - 17,496,,"June 19, 2019",Keith Thompson,,,,,
2918,Lewis Carroll,Literary Fiction,"Magic and Fantasy, Adventures, Misfits and Underdogs",Fiction,Candlewick Press,"November 26, 1865",9 - 12,207,,"November 15, 2019",Helen Oxenbury,,,,,
2919,Heather Brewer,Contemporary Fiction,,Fiction,Dutton Children's Books,"August 16, 2007",8 - 12,182,"Paperback, Audiobook (unabridged), Hardback, Kindle","December 04, 2019",,,,,ALA Best and Notable Books,
